,instant,weathersit,casual,registered,count
321,322,1,245,3147,3392
322,323,1,943,2720,3663
323,324,2,787,2733,3520
324,325,3,220,2545,2765
325,326,3,69,1538,1607
326,327,2,112,2454,2566
327,328,1,560,935,1495
328,329,1,1095,1697,2792
329,330,1,1249,1819,3068
330,331,1,810,2261,3071
331,332,1,253,3614,3867
332,333,2,96,2818,2914
333,334,1,188,3425,3613
334,335,1,182,3545,3727
335,336,1,268,3672,3940
336,337,1,706,2908,3614
337,338,1,634,2851,3485
338,339,2,233,3578,3811
339,340,3,126,2468,2594
340,341,3,50,655,705
341,342,1,150,3172,3322
342,343,1,261,3359,3620
343,344,1,502,2688,3190
344,345,1,377,2366,2743
345,346,1,143,3167,3310
346,347,1,155,3368,3523
347,348,2,178,3562,3740
348,349,2,181,3528,3709
349,350,2,178,3399,3577
350,351,2,275,2464,2739
351,352,1,220,2211,2431
352,353,1,260,3143,3403
353,354,2,216,3534,3750
354,355,2,107,2553,2660
355,356,2,227,2841,3068
356,357,1,163,2046,2209
357,358,1,155,856,1011
358,359,1,303,451,754
359,360,1,430,887,1317
360,361,2,103,1059,1162
361,362,1,255,2047,2302
362,363,1,254,2169,2423
363,364,1,491,2508,2999
364,365,1,665,1820,2485
365,366,1,686,1608,2294
366,367,1,244,1707,1951
367,368,1,89,2147,2236
368,369,2,95,2273,2368
369,370,1,140,3132,3272
370,371,1,307,3791,4098
371,372,1,1070,3451,4521
372,373,1,599,2826,3425
373,374,2,106,2270,2376
374,375,1,173,3425,3598
375,376,2,92,2085,2177
376,377,2,269,3828,4097
377,378,1,174,3040,3214
378,379,1,333,2160,2493
379,380,1,284,2027,2311
380,381,1,217,2081,2298
381,382,2,127,2808,2935
382,383,1,109,3267,3376
383,384,1,130,3162,3292
384,385,2,115,3048,3163
385,386,2,67,1234,1301
386,387,2,196,1781,1977
387,388,2,145,2287,2432
388,389,1,439,3900,4339
389,390,1,467,3803,4270
390,391,2,244,3831,4075
391,392,2,269,3187,3456
392,393,1,775,3248,4023
393,394,1,558,2685,3243
394,395,1,126,3498,3624
395,396,1,324,4185,4509
396,397,1,304,4275,4579
397,398,2,190,3571,3761
398,399,1,310,3841,4151
399,400,2,384,2448,2832
400,401,2,318,2629,2947
401,402,1,206,3578,3784
402,403,1,199,4176,4375
403,404,2,109,2693,2802
404,405,1,163,3667,3830
405,406,2,227,3604,3831
406,407,3,192,1977,2169
407,408,1,73,1456,1529
408,409,1,94,3328,3422
409,410,2,135,3787,3922
410,411,1,141,4028,4169
411,412,2,74,2931,3005
412,413,1,349,3805,4154
413,414,1,1435,2883,4318
414,415,2,618,2071,2689
415,416,1,502,2627,3129
416,417,1,163,3614,3777
417,418,1,394,4379,4773
418,419,1,516,4546,5062
419,420,2,246,3241,3487
420,421,1,317,2415,2732
421,422,1,515,2874,3389
422,423,1,253,4069,4322
423,424,1,229,4134,4363
424,425,2,65,1769,1834
425,426,1,325,4665,4990
426,427,2,246,2948,3194
427,428,2,956,3110,4066
428,429,1,710,2713,3423
429,430,1,203,3130,3333
430,431,1,221,3735,3956
431,432,1,432,4484,4916
432,433,1,486,4896,5382
433,434,2,447,4122,4569
434,435,1,968,3150,4118
435,436,1,1658,3253,4911
436,437,1,838,4460,5298
437,438,1,762,5085,5847
438,439,1,997,5315,6312
439,440,1,1005,5187,6192
440,441,2,548,3830,4378
441,442,2,3155,4681,7836
442,443,2,2207,3685,5892
443,444,1,982,5171,6153
444,445,1,1051,5042,6093
445,446,2,1122,5108,6230
446,447,1,1334,5537,6871
447,448,2,2469,5893,8362
448,449,2,1033,2339,3372
449,450,2,1532,3464,4996
450,451,1,795,4763,5558
451,452,1,531,4571,5102
452,453,1,674,5024,5698
453,454,1,834,5299,6133
454,455,2,796,4663,5459
455,456,2,2301,3934,6235
456,457,2,2347,3694,6041
457,458,1,1208,4728,5936
458,459,1,1348,5424,6772
459,460,1,1058,5378,6436
460,461,1,1192,5265,6457
461,462,1,1807,4653,6460
462,463,1,3252,3605,6857
463,464,1,2230,2939,5169
464,465,1,905,4680,5585
465,466,1,819,5099,5918
466,467,1,482,4380,4862
467,468,1,663,4746,5409
468,469,1,1252,5146,6398
469,470,1,2795,4665,7460
470,471,1,2846,4286,7132
471,472,1,1198,5172,6370
472,473,1,989,5702,6691
473,474,2,347,4020,4367
474,475,1,846,5719,6565
475,476,1,1340,5950,7290
476,477,1,2541,4083,6624
477,478,3,120,907,1027
478,479,2,195,3019,3214
479,480,1,518,5115,5633
480,481,1,655,5541,6196
481,482,2,475,4551,5026
482,483,1,1014,5219,6233
483,484,2,1120,3100,4220
484,485,1,2229,4075,6304
485,486,2,665,4907,5572
486,487,2,653,5087,5740
487,488,1,667,5502,6169
488,489,2,764,5657,6421
489,490,1,1069,5227,6296
490,491,2,2496,4387,6883
491,492,2,2135,4224,6359
492,493,2,1008,5265,6273
493,494,2,738,4990,5728
494,495,2,620,4097,4717
495,496,1,1026,5546,6572
496,497,1,1319,5711,7030
497,498,1,2622,4807,7429
498,499,1,2172,3946,6118
499,500,2,342,2501,2843
500,501,2,625,4490,5115
501,502,1,991,6433,7424
502,503,1,1242,6142,7384
503,504,1,1521,6118,7639
504,505,1,3410,4884,8294
505,506,1,2704,4425,7129
506,507,2,630,3729,4359
507,508,2,819,5254,6073
508,509,2,766,4494,5260
509,510,1,1059,5711,6770
510,511,1,1417,5317,6734
511,512,1,2855,3681,6536
512,513,1,3283,3308,6591
513,514,1,2557,3486,6043
514,515,1,880,4863,5743
515,516,2,745,6110,6855
516,517,1,1100,6238,7338
517,518,2,533,3594,4127
518,519,1,2795,5325,8120
519,520,1,2494,5147,7641
520,521,1,1071,5927,6998
521,522,2,968,6033,7001
522,523,1,1027,6028,7055
523,524,1,1038,6456,7494
524,525,1,1488,6248,7736
525,526,1,2708,4790,7498
526,527,1,2224,4374,6598
527,528,2,1017,5647,6664
528,529,2,477,4495,4972
529,530,1,1173,6248,7421
530,531,1,1180,6183,7363
531,532,1,1563,6102,7665
532,533,1,2963,4739,7702
533,534,1,2634,4344,6978
534,535,2,653,4446,5099
535,536,1,968,5857,6825
536,537,1,872,5339,6211
537,538,1,778,5127,5905
538,539,1,964,4859,5823
539,540,1,2657,4801,7458
540,541,1,2551,4340,6891
541,542,1,1139,5640,6779
542,543,1,1077,6365,7442
543,544,1,1077,6258,7335
544,545,1,921,5958,6879
545,546,1,829,4634,5463
546,547,1,1455,4232,5687
547,548,1,1421,4110,5531
548,549,1,904,5323,6227
549,550,1,1052,5608,6660
550,551,1,2562,4841,7403
551,552,1,1405,4836,6241
552,553,1,1366,4841,6207
553,554,1,1448,3392,4840
554,555,1,1203,3469,4672
555,556,2,998,5571,6569
556,557,2,954,5336,6290
557,558,1,975,6289,7264
558,559,1,1032,6414,7446
559,560,2,1511,5988,7499
560,561,2,2355,4614,6969
561,562,1,1920,4111,6031
562,563,1,1088,5742,6830
563,564,1,921,5865,6786
564,565,1,799,4914,5713
565,566,1,888,5703,6591
566,567,2,747,5123,5870
567,568,3,1264,3195,4459
568,569,2,2544,4866,7410
569,570,1,1135,5831,6966
570,571,1,1140,6452,7592
571,572,1,1383,6790,8173
572,573,1,1036,5825,6861
573,574,1,1259,5645,6904
574,575,1,2234,4451,6685
575,576,1,2153,4444,6597
576,577,1,1040,6065,7105
577,578,1,968,6248,7216
578,579,1,1074,6506,7580
579,580,1,983,6278,7261
580,581,2,1328,5847,7175
581,582,1,2345,4479,6824
582,583,1,1707,3757,5464
583,584,2,1233,5780,7013
584,585,2,1278,5995,7273
585,586,2,1263,6271,7534
586,587,1,1196,6090,7286
587,588,2,1065,4721,5786
588,589,2,2247,4052,6299
589,590,1,2182,4362,6544
590,591,1,1207,5676,6883
591,592,1,1128,5656,6784
592,593,1,1198,6149,7347
593,594,1,1338,6267,7605
594,595,1,1483,5665,7148
595,596,1,2827,5038,7865
596,597,2,1208,3341,4549
597,598,2,1026,5504,6530
598,599,1,1081,5925,7006
599,600,1,1094,6281,7375
600,601,1,1363,6402,7765
601,602,2,1325,6257,7582
602,603,2,1829,4224,6053
603,604,2,1483,3772,5255
604,605,1,989,5928,6917
605,606,1,935,6105,7040
606,607,1,1177,6520,7697
607,608,1,1172,6541,7713
608,609,1,1433,5917,7350
609,610,2,2352,3788,6140
610,611,2,2613,3197,5810
611,612,1,1965,4069,6034
612,613,1,867,5997,6864
613,614,1,832,6280,7112
614,615,2,611,5592,6203
615,616,1,1045,6459,7504
616,617,2,1557,4419,5976
617,618,1,2570,5657,8227
618,619,1,1118,6407,7525
619,620,1,1070,6697,7767
620,621,1,1050,6820,7870
621,622,1,1054,6750,7804
622,623,1,1379,6630,8009
623,624,1,3160,5554,8714
624,625,1,2166,5167,7333
625,626,2,1022,5847,6869
626,627,2,371,3702,4073
627,628,1,788,6803,7591
628,629,1,939,6781,7720
629,630,1,1250,6917,8167
630,631,1,2512,5883,8395
631,632,1,2454,5453,7907
632,633,1,1001,6435,7436
633,634,1,845,6693,7538
634,635,1,787,6946,7733
635,636,2,751,6642,7393
636,637,2,1045,6370,7415
637,638,1,2589,5966,8555
638,639,1,2015,4874,6889
639,640,2,763,6015,6778
640,641,3,315,4324,4639
641,642,2,728,6844,7572
642,643,2,891,6437,7328
643,644,1,1516,6640,8156
644,645,1,3031,4934,7965
645,646,2,781,2729,3510
646,647,2,874,4604,5478
647,648,2,601,5791,6392
648,649,1,780,6911,7691
649,650,1,834,6736,7570
650,651,1,1060,6222,7282
651,652,1,2252,4857,7109
652,653,1,2080,4559,6639
653,654,2,760,5115,5875
654,655,1,922,6612,7534
655,656,1,979,6482,7461
656,657,2,1008,6501,7509
657,658,2,753,4671,5424
658,659,1,2806,5284,8090
659,660,1,2132,4692,6824
660,661,1,830,6228,7058
661,662,1,841,6625,7466
662,663,1,795,6898,7693
663,664,2,875,6484,7359
664,665,2,1182,6262,7444
665,666,2,2643,5209,7852
666,667,2,998,3461,4459
667,668,3,2,20,22
668,669,2,87,1009,1096
669,670,2,419,5147,5566
670,671,2,466,5520,5986
671,672,1,618,5229,5847
672,673,2,1029,4109,5138
673,674,1,1201,3906,5107
674,675,1,378,4881,5259
675,676,1,466,5220,5686
676,677,2,326,4709,5035
677,678,1,340,4975,5315
678,679,1,709,5283,5992
679,680,1,2090,4446,6536
680,681,1,2290,4562,6852
681,682,1,1097,5172,6269
682,683,2,327,3767,4094
683,684,1,373,5122,5495
684,685,2,320,5125,5445
685,686,1,484,5214,5698
686,687,1,1313,4316,5629
687,688,1,922,3747,4669
688,689,2,449,5050,5499
689,690,2,534,5100,5634
690,691,1,615,4531,5146
691,692,1,955,1470,2425
692,693,1,1603,2307,3910
693,694,1,532,1745,2277
694,695,1,309,2115,2424
695,696,1,337,4750,5087
696,697,2,123,3836,3959
697,698,1,198,5062,5260
698,699,1,243,5080,5323
699,700,1,362,5306,5668
700,701,2,951,4240,5191
701,702,2,892,3757,4649
702,703,1,555,5679,6234
703,704,1,551,6055,6606
704,705,1,331,5398,5729
705,706,1,340,5035,5375
706,707,2,349,4659,5008
707,708,2,1153,4429,5582
708,709,2,441,2787,3228
709,710,2,329,4841,5170
710,711,2,282,5219,5501
711,712,2,310,5009,5319
712,713,1,425,5107,5532
713,714,1,429,5182,5611
714,715,1,767,4280,5047
715,716,2,538,3248,3786
716,717,2,212,4373,4585
717,718,1,433,5124,5557
718,719,1,333,4934,5267
719,720,2,314,3814,4128
720,721,2,221,3402,3623
721,722,1,205,1544,1749
722,723,1,408,1379,1787
723,724,2,174,746,920
724,725,2,440,573,1013
725,726,3,9,432,441
726,727,2,247,1867,2114
727,728,2,644,2451,3095
728,729,2,159,1182,1341
729,730,1,364,1432,1796
730,731,2,439,2290,2729
